noise_type,sigma,attack_auroc_mean,attack_auroc_std,attack_f1_mean,attack_f1_std,attack_edge_recall_mean,attack_edge_recall_std,model_acc_mean,model_acc_std
gaussian,0.0,0.9219580696641606,0.159885379620009,0.7511954303594811,0.17873664099447664,0.7511954303594811,0.17873664099447664,0.8875897906700556,0.09224180619463342
gaussian,0.05,0.6077497766388469,0.111821800528791,0.2889099238391202,0.19825441131274113,0.2889099238391202,0.19825441131274119,0.8876269645821587,0.0908544385037427
gaussian,0.1,0.5598665043009461,0.09385069987026279,0.25287198810386025,0.20429829146130732,0.25287198810386025,0.20429829146130732,0.886396624382187,0.08843896319488484
gaussian,0.2,0.5313083876731233,0.08676230519592307,0.2338894637362665,0.20177850592844498,0.23388946373626657,0.20177850592844498,0.8841045759383988,0.08668702467798231
gaussian,0.3,0.5221432246445376,0.09325196613700518,0.2283149726340865,0.20534205782725526,0.2283149726340865,0.20534205782725526,0.8760435587633653,0.08645689524473946
laplace,0.0,0.9220993023443255,0.16032723955175665,0.7511954303594811,0.17873664099447664,0.7511954303594811,0.17873664099447664,0.8875897906700556,0.09224180619463342
laplace,0.05,0.5851966544025263,0.10292534585603588,0.26339451355810434,0.20300651286267538,0.26339451355810434,0.20300651286267535,0.8876545986985689,0.09145950273212289
laplace,0.1,0.5451294300562276,0.0950808440942613,0.24091274954649108,0.20446561841659341,0.24091274954649108,0.20446561841659341,0.8873349825808944,0.0874597824611126
laplace,0.2,0.524825298468768,0.0877829072930538,0.22945235985416113,0.20600690396955829,0.2294523598541611,0.20600690396955826,0.8798737477742116,0.08431018089671528
laplace,0.3,0.5172769280212266,0.08661015390784225,0.223226913999524,0.2023853616229359,0.223226913999524,0.2023853616229359,0.8703723677299308,0.08505041427249085
