query_frac,query_pct,delta,attack_auroc_mean,attack_auroc_std,attack_f1_mean,attack_f1_std,attack_edge_recall_mean,attack_edge_recall_std
0.1,10,0.001,0.49919822328621594,0.051788047997456635,0.2034737989461578,0.19220882973242787,0.2034737989461578,0.19220882973242787
0.1,10,0.003,0.5022489707850577,0.0517450964882866,0.20685867809229683,0.19219722899901612,0.20685867809229683,0.19219722899901615
0.1,10,0.01,0.5061590355313986,0.05321593644023421,0.21380148984125816,0.18952468721592916,0.21380148984125816,0.1895246872159292
0.1,10,0.03,0.5186212024925548,0.04776095564615591,0.23079960048167225,0.1857424331490858,0.23079960048167225,0.1857424331490858
0.1,10,0.1,0.53502199415749,0.03992651624581575,0.2573664808360313,0.17585703482950116,0.2573664808360313,0.17585703482950119
0.25,25,0.001,0.5039964682190481,0.059313688253920534,0.21350590758845195,0.19806104357327528,0.21350590758845195,0.19806104357327528
0.25,25,0.003,0.5059567629388683,0.05794214284618607,0.2178590693542514,0.19640151612065282,0.2178590693542514,0.19640151612065285
0.25,25,0.01,0.5197667159048153,0.05804773958430351,0.2313804127247756,0.19412893877335602,0.2313804127247756,0.19412893877335602
0.25,25,0.03,0.5469382681057866,0.061700494810381916,0.2644565380106216,0.1853522522522528,0.2644565380106216,0.1853522522522528
0.25,25,0.1,0.5901243800078801,0.0673606904394718,0.3456595515918114,0.1657431040261884,0.3456595515918114,0.16574310402618841
0.5,50,0.001,0.5088257808478095,0.07222399297648933,0.21737964234602403,0.20137386932685103,0.21737964234602403,0.20137386932685103
0.5,50,0.003,0.5169027335968234,0.0746069112584872,0.22415162927811036,0.20006921129764638,0.22415162927811036,0.20006921129764638
0.5,50,0.01,0.5350450339226744,0.08424293711857615,0.24174828205845308,0.19949186361969198,0.24174828205845308,0.19949186361969198
0.5,50,0.03,0.5908863842916874,0.0889361943669041,0.29420267807501094,0.19416887584225925,0.29420267807501094,0.19416887584225925
0.5,50,0.1,0.6859504627833124,0.11250891065222957,0.4383157712318368,0.18372856295964193,0.4383157712318368,0.18372856295964193
1.0,100,0.001,0.5067910954252229,0.08810680864326362,0.22099810029129568,0.20548342709191392,0.22099810029129568,0.20548342709191392
1.0,100,0.003,0.5231452825567592,0.08358437606957947,0.22871620811291607,0.20265628302231056,0.22871620811291607,0.20265628302231056
1.0,100,0.01,0.5578002828201862,0.09688291766562405,0.24888997943533553,0.2006351048624273,0.24888997943533553,0.2006351048624273
1.0,100,0.03,0.6441903130248424,0.12065220631051564,0.3200961453873383,0.19745798448897847,0.3200961453873383,0.19745798448897847
1.0,100,0.1,0.7996512122304616,0.16108850436403022,0.5232766508045014,0.2045951483158957,0.5232766508045014,0.20459514831589568
